K,M,processes,execution_time,base_time,base_time_base,speedup,efficiency
50000,5000,2,0.293,0.586,0.586,2.0,100.0
50000,5000,4,0.163,,0.586,,
50000,5000,8,0.1086,,0.586,,
50000,5000,16,0.0759,,0.586,,
50000,10000,2,0.5759,1.1518,1.1518,2.0,100.0
50000,10000,4,0.3072,,1.1518,,
50000,10000,8,0.177,,1.1518,,
50000,10000,16,0.1829,,1.1518,,
50000,15000,2,0.8549,1.7098,1.7098,2.0,100.0
50000,15000,4,0.4665,,1.7098,,
50000,15000,8,0.2518,,1.7098,,
50000,15000,16,0.1611,,1.7098,,
100000,5000,2,0.5766,1.1532,1.1532,2.0,100.0
100000,5000,4,0.3296,,1.1532,,
100000,5000,8,0.1876,,1.1532,,
100000,5000,16,0.1436,,1.1532,,
100000,10000,2,1.1456,2.2912,2.2912,2.0,100.0
100000,10000,4,0.6346,,2.2912,,
100000,10000,8,0.3512,,2.2912,,
100000,10000,16,0.3398,,2.2912,,
100000,15000,2,1.7067,3.4134,3.4134,2.0,100.0
100000,15000,4,0.9286,,3.4134,,
100000,15000,8,0.5053,,3.4134,,
100000,15000,16,0.3682,,3.4134,,
150000,5000,2,0.867,1.734,1.734,2.0,100.0
150000,5000,4,0.4842,,1.734,,
150000,5000,8,0.306,,1.734,,
150000,5000,16,0.2067,,1.734,,
150000,10000,2,1.7095,3.419,3.419,2.0,100.0
150000,10000,4,0.9616,,3.419,,
150000,10000,8,0.5241,,3.419,,
150000,10000,16,0.3346,,3.419,,
150000,15000,2,2.5598,5.1196,5.1196,2.0,100.0
150000,15000,4,1.3702,,5.1196,,
150000,15000,8,0.7657,,5.1196,,
150000,15000,16,0.6406,,5.1196,,
